,Link,Deity,Language,Raga,Beat,Level,Tempo,file_name
0,http://dl.radiosai.org/CONCERT_BDAY_94_12_TERE_JANAM_DIN_ME_SAI.mp3,Sai,"Hindi, English",Minor (Sindhu Bhairavi / Bhairavi),8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/7699ca26531c9d5eec956a6e7b9057cc665ea5a9.mp3
1,http://dl.radiosai.org/MBV_2003_03_02M_01_SHIVA_NATARAJA_HE_TRIPURARI.mp3,Shiva,Hindi,Chakravakam / Ahir Bhairav,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/4e3719b49060568bfec977ae93442465b786e283.mp3
2,http://s3-us-west-2.amazonaws.com/raagaboxmusic/media/music/000/009/9674.mp3,Ganesha,Telugu,Sindhu Bhairavi / Bhairavi,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/c82182a59cd9ff7f030ce402e05ed691172f9141.mp3
3,http://dl.radiosai.org/BV_S_CD003_E15_SHIVA_DAMA_DAMA_DAMA.mp3,Shiva,Hindi,~ Darbari,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/7dd54454feaa25c17fb6c4107570c702db3b36f3.mp3
4,http://dl.radiosai.org/MBV_2009_05_09M_02_SHIVA_NANDEESHWARA_HE_NATARAJA.mp3,Shiva,Hindi,Pantuvarali / Puriya Dhanashri,8 Beat / Keherwa / Adi,Intermediate,Slow,data/raw/bhajans_audio/9a4f447ba09c93f9f9a12b21108de396a6482b32.mp3
5,http://dl.radiosai.org/RADIO_SAI_BHAJAN_CLASSROOM_413_SHRI_RAMA_JAI_RAMA.mp3,Rama,Hindi,Darbari,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/c9ceda3b295924f5f69b2866a3515054b733b33a.mp3
6,http://dl.radiosai.org/MBV_2008_02_20_21_SAI_SHEETALA_CHARANAM.mp3,Guru,Hindi,Kalyani / Yaman,8 Beat / Keherwa / Adi,Intermediate,Medium Slow,data/raw/bhajans_audio/58e0bb6a39efb0fb453126c89b7e7d5ada423653.mp3
7,http://dl.radiosai.org/MBV_2011_03_02_23_SHIVA_JAYA_SHANKARA_BHAVA_GOCHARA.mp3,Shiva,Hindi,Mohanam / Bhoop,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/7951538041e51e62cdfac55d0f34dc4c4e01c91b.mp3
8,http://dl.radiosai.org/MBV_2011_03_03M_44_SHIVA_SAI_ATP_SHIRDI_NIVASA_SAI_SHANKARA.mp3,Shiva,Hindi,Shubha Pantuvarali / Miyan ki Todi,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/c55debd56e7ec91802805fb0f776b1d1b20381a5.mp3
9,http://sssbalvikastn.org/sundaram_bhajan/audio/vol4/02%20PARTHIPUREESHWARAM.mp3,"Sai, Guru",Hindi,Shivaranjani,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/c036ddb862f877df16eea2cae3ec7973f1eaa603.mp3
10,http://dl.radiosai.org/MBV_2009_03_19_03_MANASA_BHAJARE_GURU_CHARANAM_SAI_CHARANAM.mp3,Guru,Hindi,Shivaranjani,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/8cb1cf7e9cbca012f90ea68ae011fee174c03198.mp3
11,http://dl.radiosai.org/MBV_2006_03_27M_06_SHIVA_JAYA_JAGADEESHA_HARE.mp3,Shiva,Hindi,Hindolam / Malkauns,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/6825f77afbe55baf8c37fa9422b605367446c619.mp3
12,http://dl.radiosai.org/MBV_2004_02_18_E_25_ATP_SHIVA_GURU_JAYA_GURUDEVA.mp3,Guru,Hindi,Vakulabharanam,8 Beat / Keherwa / Adi,Intermediate,Medium Slow,data/raw/bhajans_audio/dc7e35b3a92333ad61541b293ddfa23a89c26d27.mp3
13,http://dl.radiosai.org/BV_OLD_STUDENTS_2014_01_01_02_SAI_KE_DARBAR_MEIN_AAO.mp3,Sai,Hindi,Darbari,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/527d1b532c98b14dbc6823a91fd2d62a8c0be6bf.mp3
14,http://dl.radiosai.org/MBV_2006_03_20M_03_SAI_RAMA_OMKARA_PRIYA_SAIRAMA.mp3,Sai,Hindi,Bowli,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/31c1cc4f53f34887b10603c7e731825ae9fec6d8.mp3
15,http://dl.radiosai.org/BV_BRINDAVAN_BHAJANS_VOL01_05_KARTHIKEYA_L_HE_SHIVA_PRIYA_NANDANA.mp3,Subramanya,Hindi,Shivaranjani,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/312ef681f662d713b7286c5d8889a55349e51922.mp3
16,http://dl.radiosai.org/MBV_2010_10_03_17_SAI_RAMA_SAT_BAR_KAHO_RE_SAI_RAM.mp3,Sai,Hindi,Yaman Kalyan,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/80ef5d10f0d2dfdcca5793dca0c27eb5bb7dd170.mp3
17,http://dl.radiosai.org/MBV_2008_01_24_02_SAI_KOTI_PRANAM.mp3,Sai,Hindi,Kalyani / Yaman,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/2429c6664829bfd66831831ad079642e5099ed0f.mp3
18,http://dl.radiosai.org/MBV_2006_11_12_AKHANDA_BHAJAN_55_KRISHNA_MITA_SMITA_SUNDARA_MUKHARAVINDA.mp3,Krishna,Hindi,~ Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Simple,Fast,data/raw/bhajans_audio/696610e1480022091d912bcfbc4f7ac5f1594715.mp3
19,http://dl.radiosai.org/RADIO_SAI_BHAJAN_CLASSROOM_478_NAYANO_MEIN_PREM_DHAR_VACHANO_MEIN.mp3,Guru,Hindi,Pahadi,6 Beat / Dadra,Simple,Medium Fast,data/raw/bhajans_audio/ccd5c91c4da2077c997163f19eeb39f09be2bd04.mp3
20,http://dl.radiosai.org/MBV_2004_02_08_02_RAMA_S_JAGADASHRAYA_SRI_RAGHU_RAMA_P.mp3,Rama,Hindi,Chakravakam / Ahir Bhairav,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/d5141da5c12c434e9e16205f037ad8458e90714a.mp3
21,http://dl.radiosai.org/BV_PSGAAN_02_DEVI_NIRANJANI_SAI_BHAVANI.mp3,Devi,Hindi,Hamsanandi / Sohini,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/19b86c1de7eabdcb229e338249160baca545779d.mp3
22,http://dl.radiosai.org/MBV_2010_11_30_38_KRISHNA_VANAMALI_VASUDEVA_JAGANMOHANA_RADHA_RAMANA.mp3,Krishna,Hindi,Brindavan Sarang,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/e7583cdf9946a5745f670bbddda6f60172632dc2.mp3
23,http://dl.radiosai.org/MBV_2013_12_14_03_KRISHNA_SAI_JAGAT_PALANA_JAGAN_MOHANA.mp3,Krishna,Hindi,Shivaranjani,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/eb1f07a182ecc15da5f8c64413a687dd7d87794e.mp3
24,http://dl.radiosai.org/BV_S_V017_E10_DEVI_GAANA_PRIYE.mp3,Devi,Hindi,Revathi / Bhairagi Bhairav,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/7ae4b89e22a7543b48557c6e9e3e40bb501a3430.mp3
25,http://dl.radiosai.org/BV_U030_V020_12_AJNISH_SAI_DEVI_JANANI_KRIPA_KARO.mp3,Devi,Hindi,Sindhu Bhairavi / Bhairavi,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/39838a449b990740fc53eab7ae08c25a72b48e82.mp3
26,http://dl.radiosai.org/RADIO_SAI_BHAJAN_CLASSROOM_482_SHANKARI_BHAKTAVA_SHANKARI_MA.mp3,Devi,Hindi,Chakravakam / Ahir Bhairav,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/032590f008def621475a82d0c321882f0c1b6547.mp3
27,http://dl.radiosai.org/MBV_2010_11_14M_AKHANDA_BHAJAN_08_KRISHNA_ATP_NAND_KE_DULARE_BHAIYA_NACHO_3.mp3,Krishna,Hindi,Madhyamavati / Madhmad Sarang,8 Beat / Keherwa / Adi,Advanced,Medium Slow,data/raw/bhajans_audio/ca867bb7433db520d58d1597d679b6747654446a.mp3
28,http://dl.radiosai.org/MBV_2008_01_20M_02_KRISHNA_BHAJAMANA_SHYAMA_SUNDARA_GIRIDHARI.mp3,Krishna,Hindi,Pilu,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/7e3fc370b94903f1a45c97f15eed134ce3b3a018.mp3
29,http://sssbalvikastn.org/sundaram_bhajan/audio/vol11/05%20RUM%20JUM%20NACHO.mp3,Krishna,Hindi,Khamaj,8 Beat / Keherwa / Adi,Simple,Medium Fast,data/raw/bhajans_audio/852ee521c202101a3592043b58157f736976b605.mp3
30,http://dl.radiosai.org/MBV_2003_08_19M_14_KRISHNA_GOPALA_GOPALA_NACHO.mp3,Krishna,Hindi,Jaunpuri,8 Beat / Keherwa / Adi,Simple,Medium Fast,data/raw/bhajans_audio/255dc361159edd880dde232b9fa986f21fa4f8b4.mp3
31,http://dl.radiosai.org/BV_OLD_STUDENTS_VOL01_07_SAPNE_MEIN_AAO.mp3,Guru,Hindi,Sindhu Bhairavi / Bhairavi,8 Beat / Keherwa / Adi,Intermediate,Medium Slow,data/raw/bhajans_audio/9a02c6d18c2a4364008212ab523f85dd4907a453.mp3
32,http://dl.radiosai.org/MBV_2007_04_18M_02_KRISHNA_MADHUVANA_MURALI_SHYAMA_MURARI.mp3,Krishna,Hindi,Madhuvanti,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/c784fd60359f7254ee3c23adec7511baa767b480.mp3
33,http://dl.radiosai.org/MBV_2003_12_07_02_KRISHNA_CHITHA_RAJA.mp3,Sai,Hindi,Mishra Kapi,8 Beat / Keherwa / Adi,Intermediate,Medium Slow,data/raw/bhajans_audio/866574409581a889d6e23a3417cf52caac7b8012.mp3
34,http://dl.radiosai.org/MBV_2007_04_11_06_KRISHNA_GOVINDA_GOVINDA_GAYIYE.mp3,Krishna,Hindi,Pahadi,6 Beat / Dadra,Intermediate,Medium,data/raw/bhajans_audio/69fa56f4d8b63613ab0785336744051a2ae3b5ac.mp3
35,http://dl.radiosai.org/MBV_2004_01_12_06_KRISHNA_GOPALA_RADHE_KRISHNA_P.mp3,Krishna,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Simple,Medium Slow,data/raw/bhajans_audio/f555521318e65f5af800d0dc853d2a1bd6b29c43.mp3
36,http://s3-us-west-2.amazonaws.com/raagaboxmusic/media/music/000/001/1010.mp3,Krishna,Hindi,Shankarabharanam / Bilawal,8 Beat / Keherwa / Adi,Simple,Fast,data/raw/bhajans_audio/37f3f9602981ebdbfe23d6118f86cd3385481373.mp3
37,http://dl.radiosai.org/MBV_2010_11_04_02_KRISHNA_KANHAIYA_2.mp3,Krishna,Hindi,Mishra Shivaranjani,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/962aa16a2b6d8c7a3f7697dbe5e669ab543756be.mp3
38,http://dl.radiosai.org/MBV_2013_08_25_02_KRISHNA_RAMA_RAGHAVA_RAGHUNANDANA.mp3,"Rama, Krishna",Hindi,Gavati,7 Beat / Rupak / Misrachapu,Intermediate,Medium,data/raw/bhajans_audio/2bdfd1e1a879725c6add356823ee7bcab918d58e.mp3
39,http://dl.radiosai.org/MBV_2001_11_10_18_KRISHNA_ATP_ANANDA_SAGARA.mp3,Krishna,Hindi,Hindolam / Malkauns,6 Beat / Dadra,Simple,Medium Fast,data/raw/bhajans_audio/891b1cbaa15486a679f26e15c065d110384bfa2b.mp3
40,http://dl.radiosai.org/BV_TRIBUTE_VOL_03_02_DEVI_DURGA_AMBA_BHAVANI.mp3,Devi,Hindi,Sarasangi / Nat Bhairav,6 Beat / Dadra,Intermediate,Medium,data/raw/bhajans_audio/d6bcdad24bcdcc32b4db6fc174145b0104a7d2bb.mp3
41,http://dl.radiosai.org/MBV_2007_04_03M_03_SAI_DEENA_DUKHIYON_SE.mp3,Sai,Hindi,Chakravakam / Ahir Bhairav,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/42c2dbc66233b1bd3a8589349e7399da76342e8d.mp3
42,http://dl.radiosai.org/BV_S_CD002_E16_SAI_SUNDARA_SUNDARA_NACHE.mp3,Krishna,Hindi,Natabhairavi,8 Beat / Keherwa / Adi,Intermediate,Medium Fast,data/raw/bhajans_audio/425311d0d713ae7821a44eca1b8e5d026bf507c6.mp3
43,http://dl.radiosai.org/MBV_2014_03_23_01_GANESHA_PARVATI_TANAYA_SIDDHI_VINAYAKA.mp3,Ganesha,Hindi,Abheri / Bhimpalas,8 Beat / Keherwa / Adi,Advanced,Medium,data/raw/bhajans_audio/c98cb97991d9c47789d7ec345627e14745e49778.mp3
44,http://dl.radiosai.org/MBV_2007_04_07_05_SAI_PREM_SE_BOLO_EK_BAR_SAI_RAM.mp3,Sai,Hindi,Gavati,8 Beat / Keherwa / Adi,Intermediate,Medium,data/raw/bhajans_audio/ebd18e892ea03b8875242ae5555b4abea4b33398.mp3
45,http://dl.radiosai.org/MBV_2009_03_23_04_SRI_SAI_RAMA_SUNDARA_NAMA.mp3,Rama,Hindi,Yaman Kalyan,8 Beat / Keherwa / Adi,Advanced,Slow,data/raw/bhajans_audio/e75df3369f91849ef6af8815ae2eb41c938c52a0.mp3
